FeH,EuFe,sigma_FeH,sigma_EuFe
0.27,-0.17,0.05,0.08
-0.47,0.34,0.05,0.08
0.19,0.09,0.05,0.08
-0.26,0.06,0.05,0.08
-0.20,0.23,0.05,0.08
-0.27,0.31,0.05,0.08
0.20,-0.29,0.05,0.08
-0.29,0.17,0.05,0.08
0.11,-0.01,0.05,0.08
-0.21,0.28,0.05,0.08
-0.69,0.41,0.05,0.08
0.07,-0.10,0.05,0.08
-0.10,0.06,0.05,0.08
-0.56,0.37,0.05,0.08
-0.07,0.06,0.05,0.08
0.15,-0.01,0.05,0.08
-0.62,0.21,0.05,0.08
-0.17,0.21,0.05,0.08
-0.17,0.38,0.05,0.08
-0.22,0.30,0.05,0.08
-0.02,0.07,0.05,0.08
0.13,-0.04,0.05,0.08
0.11,0.04,0.05,0.08
-0.23,0.24,0.05,0.08
-0.03,0.09,0.05,0.08
0.11,-0.05,0.05,0.08
0.12,0.02,0.05,0.08
-0.49,0.32,0.05,0.08
0.06,0.06,0.05,0.08
-0.37,0.30,0.05,0.08
-0.22,0.31,0.05,0.08
-0.29,0.18,0.05,0.08
-0.53,0.28,0.05,0.08
0.03,0.01,0.05,0.08
0.24,-0.01,0.05,0.08
-0.01,0.03,0.05,0.08
0.13,-0.22,0.05,0.08
-1.05,0.52,0.05,0.08
-0.48,0.22,0.05,0.08
-0.25,0.13,0.05,0.08
0.11,-0.07,0.05,0.08
-0.25,0.13,0.05,0.08
-0.04,0.02,0.05,0.08
-0.32,0.24,0.05,0.08
-0.66,0.37,0.05,0.08
0.14,-0.08,0.05,0.08
-0.26,0.08,0.05,0.08
-0.29,0.16,0.05,0.08
0.11,-0.05,0.05,0.08
0.04,-0.01,0.05,0.08
-0.01,0.09,0.05,0.08
0.15,-0.05,0.05,0.08
-0.44,0.14,0.05,0.08
-0.51,0.10,0.05,0.08
-1.08,0.42,0.05,0.08
-0.04,0.06,0.05,0.08
-0.21,0.21,0.05,0.08
0.06,0.09,0.05,0.08
0.23,-0.14,0.05,0.08
-0.20,0.07,0.05,0.08
0.16,-0.15,0.05,0.08
0.01,0.01,0.05,0.08
0.08,0.03,0.05,0.08
-0.20,0.12,0.05,0.08
-0.24,0.11,0.05,0.08
-0.77,0.46,0.05,0.08
-0.45,0.28,0.05,0.08
-0.24,0.14,0.05,0.08
-0.34,0.34,0.05,0.08
-0.42,0.25,0.05,0.08
-0.31,0.17,0.05,0.08
-0.08,0.07,0.05,0.08
-0.11,0.11,0.05,0.08
0.13,-0.06,0.05,0.08
0.01,-0.01,0.05,0.08
-0.08,0.05,0.05,0.08
0.19,0.13,0.05,0.08
-0.14,0.04,0.05,0.08
0.24,0.06,0.05,0.08
-0.20,0.17,0.05,0.08
-0.13,0.06,0.05,0.08
-0.14,0.16,0.05,0.08
-0.27,0.21,0.05,0.08
-0.27,0.11,0.05,0.08
-0.09,0.22,0.05,0.08
-0.26,0.11,0.05,0.08
0.02,0.07,0.05,0.08
-0.34,0.31,0.05,0.08
-0.48,0.37,0.05,0.08
-0.37,0.16,0.05,0.08
-0.14,0.20,0.05,0.08
-0.06,0.12,0.05,0.08
-0.28,0.13,0.05,0.08
-0.28,0.20,0.05,0.08
-0.12,0.07,0.05,0.08
-0.14,0.09,0.05,0.08
-0.24,0.16,0.05,0.08
0.04,0.04,0.05,0.08
-0.05,-0.01,0.05,0.08
-0.14,0.12,0.05,0.08
-0.05,0.06,0.05,0.08
-0.29,0.11,0.05,0.08
-0.14,0.07,0.05,0.08
-0.08,0.04,0.05,0.08
0.00,0.13,0.05,0.08
-0.03,0.03,0.05,0.08
-0.11,0.15,0.05,0.08
0.01,0.06,0.05,0.08
0.25,-0.06,0.05,0.08
-0.52,0.34,0.05,0.08
-0.08,0.05,0.05,0.08
-0.37,0.21,0.05,0.08
0.02,0.07,0.05,0.08
0.16,-0.06,0.05,0.08
0.20,-0.06,0.05,0.08
-0.38,0.17,0.05,0.08
