FeH,EuFe,sigma_FeH,sigma_EuFe
-1.04,0.55,0.00,0.00
0.04,0.13,0.00,0.00
-0.78,0.38,0.00,0.00
-1.12,0.41,0.00,0.00
-0.32,0.23,0.00,0.00
-0.98,0.54,0.00,0.00
-0.50,0.50,0.00,0.00
-0.75,0.42,0.00,0.00
-0.68,0.57,0.00,0.00
-0.56,0.37,0.00,0.00
-0.82,0.39,0.00,0.00
0.15,0.20,0.00,0.00
-0.40,0.35,0.00,0.00
-0.49,0.29,0.00,0.00
-1.08,0.71,0.00,0.00
-0.71,0.49,0.00,0.00
-0.51,0.44,0.00,0.00
-0.80,0.53,0.00,0.00
-1.06,0.56,0.00,0.00
-0.68,0.61,0.00,0.00
-0.29,0.39,0.00,0.00
-0.50,0.51,0.00,0.00
-0.46,0.61,0.00,0.00
0.10,0.28,0.00,0.00
-0.37,0.54,0.00,0.00
-0.54,0.52,0.00,0.00
-0.33,0.30,0.00,0.00
-0.34,0.28,0.00,0.00
0.05,0.06,0.00,0.00
-0.28,0.37,0.00,0.00
-0.40,0.49,0.00,0.00
-0.39,0.27,0.00,0.00
-0.70,0.74,0.00,0.00
-0.86,0.54,0.00,0.00
-0.73,0.43,0.00,0.00
-0.55,0.56,0.00,0.00
-0.92,0.43,0.00,0.00
-0.64,0.31,0.00,0.00
-0.10,0.22,0.00,0.00
-0.67,0.54,0.00,0.00
-0.20,0.25,0.00,0.00
-0.35,0.22,0.00,0.00
-0.82,0.53,0.00,0.00
-0.56,0.50,0.00,0.00
-0.84,0.40,0.00,0.00
-0.79,0.52,0.00,0.00
-0.91,0.48,0.00,0.00
-0.46,0.26,0.00,0.00
-0.52,0.57,0.00,0.00
-0.17,0.09,0.00,0.00
-0.52,0.52,0.00,0.00
-0.67,0.38,0.00,0.00
-0.75,0.48,0.00,0.00
-0.64,0.57,0.00,0.00
-0.64,0.47,0.00,0.00
-0.91,0.49,0.00,0.00
-0.56,0.53,0.00,0.00
-0.72,0.60,0.00,0.00
-0.51,0.71,0.00,0.00
-0.52,0.40,0.00,0.00
-0.46,0.55,0.00,0.00
-0.53,0.31,0.00,0.00
-1.30,0.43,0.00,0.00
-0.07,0.11,0.00,0.00
0.06,-0.02,0.00,0.00
-0.44,0.31,0.00,0.00
-0.22,0.04,0.00,0.00
0.00,0.23,0.00,0.00
0.13,-0.09,0.00,0.00
-0.16,0.14,0.00,0.00
-0.01,0.14,0.00,0.00
0.02,0.11,0.00,0.00
-0.05,-0.07,0.00,0.00
0.16,-0.05,0.00,0.00
0.06,-0.06,0.00,0.00
0.04,0.04,0.00,0.00
-0.12,0.05,0.00,0.00
-0.18,0.03,0.00,0.00
-0.20,0.18,0.00,0.00
-0.05,0.08,0.00,0.00
-0.45,0.28,0.00,0.00
0.10,0.01,0.00,0.00
0.08,-0.02,0.00,0.00
0.11,0.04,0.00,0.00
0.02,0.02,0.00,0.00
-0.48,0.16,0.00,0.00
0.08,0.03,0.00,0.00
0.21,-0.08,0.00,0.00
-0.03,0.06,0.00,0.00
-0.46,0.29,0.00,0.00
-0.05,-0.07,0.00,0.00
0.24,-0.08,0.00,0.00
0.07,0.06,0.00,0.00
0.02,0.09,0.00,0.00
0.31,-0.08,0.00,0.00
-0.32,0.05,0.00,0.00
-0.08,0.07,0.00,0.00
0.03,0.03,0.00,0.00
-0.24,0.15,0.00,0.00
-0.25,0.19,0.00,0.00
-0.05,0.06,0.00,0.00
-0.24,0.17,0.00,0.00
-0.31,0.14,0.00,0.00
-0.02,0.15,0.00,0.00
-0.16,0.19,0.00,0.00
-0.12,0.10,0.00,0.00
-0.75,0.38,0.00,0.00
0.19,0.09,0.00,0.00
0.21,0.12,0.00,0.00
-0.49,0.00,0.00,0.00
0.01,-0.10,0.00,0.00
0.00,0.11,0.00,0.00
0.02,0.11,0.00,0.00
-0.02,0.10,0.00,0.00
-0.06,0.07,0.00,0.00
-0.37,0.18,0.00,0.00
-0.09,0.12,0.00,0.00
-0.70,0.23,0.00,0.00
0.32,-0.04,0.00,0.00
0.01,0.07,0.00,0.00
-0.04,0.02,0.00,0.00
0.25,-0.09,0.00,0.00
-0.22,0.25,0.00,0.00
-0.08,0.11,0.00,0.00
-0.04,0.15,0.00,0.00
-0.21,0.14,0.00,0.00
-0.10,-0.02,0.00,0.00
-0.07,0.04,0.00,0.00
-0.18,0.19,0.00,0.00
-0.56,0.36,0.00,0.00
-0.49,0.07,0.00,0.00
0.06,-0.08,0.00,0.00
0.06,0.02,0.00,0.00
